2018-10-16 12:26:14.711 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 752 to 772
2018-10-16 12:26:33.942 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:25:33.945+0200 to 2018-10-16T12:26:33.949+0200
2018-10-16 12:26:33.946 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:25:33.945+0200 to 2018-10-16T12:26:33.949+0200
2018-10-16 12:26:44.749 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 772 to 794
2018-10-16 12:27:33.951 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:26:33.949+0200 to 2018-10-16T12:27:33.953+0200
2018-10-16 12:27:33.954 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:26:33.949+0200 to 2018-10-16T12:27:33.953+0200
2018-10-16 12:28:00.706 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 794 to 815
2018-10-16 12:28:33.942 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:27:33.953+0200 to 2018-10-16T12:28:33.958+0200
2018-10-16 12:28:33.943 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:27:33.953+0200 to 2018-10-16T12:28:33.958+0200
2018-10-16 12:28:45.771 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 815 to 835
2018-10-16 12:29:25.532 [vent.ItemStateChangedEvent] - TempMqtt changed from 28.1 to 28.5
2018-10-16 12:29:32.093 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 835 to 856
2018-10-16 12:29:33.942 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:28:33.958+0200 to 2018-10-16T12:29:33.960+0200
2018-10-16 12:29:33.945 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:28:33.958+0200 to 2018-10-16T12:29:33.960+0200
2018-10-16 12:30:33.943 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:29:33.960+0200 to 2018-10-16T12:30:33.963+0200
2018-10-16 12:30:33.946 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:29:33.960+0200 to 2018-10-16T12:30:33.963+0200
2018-10-16 12:31:33.947 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:30:33.963+0200 to 2018-10-16T12:31:33.964+0200
2018-10-16 12:31:33.951 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:30:33.963+0200 to 2018-10-16T12:31:33.964+0200
2018-10-16 12:31:47.957 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 856 to 877
2018-10-16 12:32:33.957 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:31:33.964+0200 to 2018-10-16T12:32:33.967+0200
2018-10-16 12:32:33.963 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:31:33.964+0200 to 2018-10-16T12:32:33.967+0200
2018-10-16 12:33:33.954 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:32:33.967+0200 to 2018-10-16T12:33:33.971+0200
2018-10-16 12:33:33.955 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:32:33.967+0200 to 2018-10-16T12:33:33.971+0200
2018-10-16 12:33:39.118 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 877 to 899
2018-10-16 12:34:19.231 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 899 to 920
2018-10-16 12:34:33.952 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:33:33.971+0200 to 2018-10-16T12:34:33.974+0200
2018-10-16 12:34:33.953 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:33:33.971+0200 to 2018-10-16T12:34:33.974+0200
2018-10-16 12:35:10.413 [vent.ItemStateChangedEvent] - TempMqtt changed from 28.5 to 28.9
2018-10-16 12:35:33.953 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:34:33.974+0200 to 2018-10-16T12:35:33.977+0200
2018-10-16 12:35:33.956 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:34:33.974+0200 to 2018-10-16T12:35:33.977+0200
2018-10-16 12:35:35.232 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 920 to 941
2018-10-16 12:36:33.964 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:35:33.977+0200 to 2018-10-16T12:36:33.978+0200
2018-10-16 12:36:33.968 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:35:33.977+0200 to 2018-10-16T12:36:33.978+0200
2018-10-16 12:36:50.495 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 941 to 964
2018-10-16 12:37:16.401 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 964 to 986
2018-10-16 12:37:33.962 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:36:33.978+0200 to 2018-10-16T12:37:33.981+0200
2018-10-16 12:37:33.969 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:36:33.978+0200 to 2018-10-16T12:37:33.981+0200
2018-10-16 12:37:56.743 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 986 to 1008
2018-10-16 12:38:33.967 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:37:33.981+0200 to 2018-10-16T12:38:33.985+0200
2018-10-16 12:38:33.971 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:37:33.981+0200 to 2018-10-16T12:38:33.985+0200
2018-10-16 12:39:33.969 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:38:33.985+0200 to 2018-10-16T12:39:33.988+0200
2018-10-16 12:39:33.972 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:38:33.985+0200 to 2018-10-16T12:39:33.988+0200
2018-10-16 12:40:33.974 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:39:33.988+0200 to 2018-10-16T12:40:33.991+0200
2018-10-16 12:40:33.977 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:39:33.988+0200 to 2018-10-16T12:40:33.991+0200
2018-10-16 12:41:33.976 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:40:33.991+0200 to 2018-10-16T12:41:33.997+0200
2018-10-16 12:41:33.976 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:40:33.991+0200 to 2018-10-16T12:41:33.997+0200
2018-10-16 12:42:33.979 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:41:33.997+0200 to 2018-10-16T12:42:33.999+0200
2018-10-16 12:42:33.981 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:41:33.997+0200 to 2018-10-16T12:42:33.999+0200
2018-10-16 12:43:33.980 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:42:33.999+0200 to 2018-10-16T12:43:34.002+0200
2018-10-16 12:43:33.980 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:42:33.999+0200 to 2018-10-16T12:43:34.002+0200
2018-10-16 12:44:33.990 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:43:34.002+0200 to 2018-10-16T12:44:34.005+0200
2018-10-16 12:44:33.995 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:43:34.002+0200 to 2018-10-16T12:44:34.005+0200
2018-10-16 12:45:33.989 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:44:34.005+0200 to 2018-10-16T12:45:34.007+0200
2018-10-16 12:45:33.991 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:44:34.005+0200 to 2018-10-16T12:45:34.007+0200
2018-10-16 12:46:33.990 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:45:34.007+0200 to 2018-10-16T12:46:34.010+0200
2018-10-16 12:46:33.992 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:45:34.007+0200 to 2018-10-16T12:46:34.010+0200
2018-10-16 12:47:33.994 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:46:34.010+0200 to 2018-10-16T12:47:34.013+0200
2018-10-16 12:47:33.997 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:46:34.010+0200 to 2018-10-16T12:47:34.013+0200
2018-10-16 12:48:33.993 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:47:34.013+0200 to 2018-10-16T12:48:34.015+0200
2018-10-16 12:48:33.997 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:47:34.013+0200 to 2018-10-16T12:48:34.015+0200
2018-10-16 12:49:33.996 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:48:34.015+0200 to 2018-10-16T12:49:34.018+0200
2018-10-16 12:49:33.999 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:48:34.015+0200 to 2018-10-16T12:49:34.018+0200
2018-10-16 12:50:34.003 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:49:34.018+0200 to 2018-10-16T12:50:34.020+0200
2018-10-16 12:50:34.007 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:49:34.018+0200 to 2018-10-16T12:50:34.020+0200
2018-10-16 12:51:34.005 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:50:34.020+0200 to 2018-10-16T12:51:34.023+0200
2018-10-16 12:51:34.009 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:50:34.020+0200 to 2018-10-16T12:51:34.023+0200
2018-10-16 12:52:34.010 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:51:34.023+0200 to 2018-10-16T12:52:34.025+0200
2018-10-16 12:52:34.016 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:51:34.023+0200 to 2018-10-16T12:52:34.025+0200
2018-10-16 12:53:34.009 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:52:34.025+0200 to 2018-10-16T12:53:34.028+0200
2018-10-16 12:53:34.012 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:52:34.025+0200 to 2018-10-16T12:53:34.028+0200
2018-10-16 12:54:54.113 [hingStatusInfoChangedEvent] - 'ntp:ntp:demo' changed from ONLINE to OFFLINE (COMMUNICATION_ERROR): The timeserver hostname nl.pool.ntp.org is unknown -> returning current sytem time instead.
2018-10-16 12:54:54.120 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:53:34.028+0200 to 2018-10-16T12:54:54.060+0200
2018-10-16 12:54:54.122 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:53:34.028+0200 to 2018-10-16T12:54:54.060+0200
2018-10-16 12:55:54.082 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:54:54.060+0200 to 2018-10-16T12:55:54.073+0200
2018-10-16 12:55:54.085 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:54:54.060+0200 to 2018-10-16T12:55:54.073+0200
2018-10-16 12:56:54.088 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:55:54.073+0200 to 2018-10-16T12:56:54.075+0200
2018-10-16 12:56:54.092 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:55:54.073+0200 to 2018-10-16T12:56:54.075+0200
2018-10-16 12:57:54.091 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:56:54.075+0200 to 2018-10-16T12:57:54.079+0200
2018-10-16 12:57:54.098 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:56:54.075+0200 to 2018-10-16T12:57:54.079+0200
2018-10-16 12:58:54.091 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:57:54.079+0200 to 2018-10-16T12:58:54.081+0200
2018-10-16 12:58:54.094 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:57:54.079+0200 to 2018-10-16T12:58:54.081+0200
2018-10-16 12:59:54.086 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:58:54.081+0200 to 2018-10-16T12:59:54.084+0200
2018-10-16 12:59:54.088 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:58:54.081+0200 to 2018-10-16T12:59:54.084+0200
2018-10-16 13:00:54.096 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:59:54.084+0200 to 2018-10-16T13:00:54.085+0200
2018-10-16 13:00:54.099 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:59:54.084+0200 to 2018-10-16T13:00:54.085+0200
2018-10-16 13:01:54.098 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:00:54.085+0200 to 2018-10-16T13:01:54.088+0200
2018-10-16 13:01:54.101 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:00:54.085+0200 to 2018-10-16T13:01:54.088+0200
2018-10-16 13:02:54.114 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:01:54.088+0200 to 2018-10-16T13:02:54.091+0200
2018-10-16 13:02:54.118 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:01:54.088+0200 to 2018-10-16T13:02:54.091+0200
2018-10-16 13:03:54.104 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:02:54.091+0200 to 2018-10-16T13:03:54.093+0200
2018-10-16 13:03:54.109 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:02:54.091+0200 to 2018-10-16T13:03:54.093+0200
2018-10-16 13:04:54.103 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:03:54.093+0200 to 2018-10-16T13:04:54.096+0200
2018-10-16 13:04:54.106 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:03:54.093+0200 to 2018-10-16T13:04:54.096+0200
2018-10-16 13:05:54.110 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:04:54.096+0200 to 2018-10-16T13:05:54.098+0200
2018-10-16 13:05:54.112 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:04:54.096+0200 to 2018-10-16T13:05:54.098+0200
2018-10-16 13:06:54.110 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:05:54.098+0200 to 2018-10-16T13:06:54.100+0200
2018-10-16 13:06:54.112 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:05:54.098+0200 to 2018-10-16T13:06:54.100+0200
2018-10-16 13:07:54.114 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:06:54.100+0200 to 2018-10-16T13:07:54.102+0200
2018-10-16 13:07:54.116 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:06:54.100+0200 to 2018-10-16T13:07:54.102+0200
2018-10-16 13:08:54.123 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:07:54.102+0200 to 2018-10-16T13:08:54.105+0200
2018-10-16 13:08:54.127 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:07:54.102+0200 to 2018-10-16T13:08:54.105+0200
2018-10-16 13:09:54.116 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:08:54.105+0200 to 2018-10-16T13:09:54.108+0200
2018-10-16 13:09:54.121 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:08:54.105+0200 to 2018-10-16T13:09:54.108+0200
2018-10-16 13:10:54.114 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:09:54.108+0200 to 2018-10-16T13:10:54.111+0200
2018-10-16 13:10:54.115 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:09:54.108+0200 to 2018-10-16T13:10:54.111+0200
2018-10-16 13:11:54.120 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:10:54.111+0200 to 2018-10-16T13:11:54.112+0200
2018-10-16 13:11:54.124 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:10:54.111+0200 to 2018-10-16T13:11:54.112+0200
2018-10-16 13:12:54.123 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:11:54.112+0200 to 2018-10-16T13:12:54.114+0200
2018-10-16 13:12:54.125 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:11:54.112+0200 to 2018-10-16T13:12:54.114+0200
2018-10-16 13:13:54.126 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:12:54.114+0200 to 2018-10-16T13:13:54.117+0200
2018-10-16 13:13:54.130 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:12:54.114+0200 to 2018-10-16T13:13:54.117+0200
2018-10-16 13:14:54.133 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:13:54.117+0200 to 2018-10-16T13:14:54.119+0200
2018-10-16 13:14:54.139 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:13:54.117+0200 to 2018-10-16T13:14:54.119+0200
2018-10-16 13:15:54.126 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:14:54.119+0200 to 2018-10-16T13:15:54.122+0200
2018-10-16 13:15:54.127 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:14:54.119+0200 to 2018-10-16T13:15:54.122+0200
2018-10-16 13:16:54.131 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:15:54.122+0200 to 2018-10-16T13:16:54.123+0200
2018-10-16 13:16:54.136 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:15:54.122+0200 to 2018-10-16T13:16:54.123+0200
2018-10-16 13:17:54.130 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:16:54.123+0200 to 2018-10-16T13:17:54.125+0200
2018-10-16 13:17:54.131 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:16:54.123+0200 to 2018-10-16T13:17:54.125+0200
2018-10-16 13:18:54.128 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:17:54.125+0200 to 2018-10-16T13:18:54.126+0200
2018-10-16 13:18:54.130 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:17:54.125+0200 to 2018-10-16T13:18:54.126+0200
2018-10-16 13:19:54.135 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:18:54.126+0200 to 2018-10-16T13:19:54.127+0200
2018-10-16 13:19:54.137 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:18:54.126+0200 to 2018-10-16T13:19:54.127+0200
2018-10-16 13:20:54.140 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:19:54.127+0200 to 2018-10-16T13:20:54.129+0200
2018-10-16 13:20:54.144 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:19:54.127+0200 to 2018-10-16T13:20:54.129+0200
2018-10-16 13:21:54.147 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:20:54.129+0200 to 2018-10-16T13:21:54.132+0200
2018-10-16 13:21:54.151 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:20:54.129+0200 to 2018-10-16T13:21:54.132+0200
